Filename: PicknPlace.txt

Lage der Leiterplatte:
untere linke Ecke: X=0 / Y=0
RefDesignator	X	Y	Rot	Value	Package	Side
SW1	25.925	31.395	0.000	B3U-3000P	B3U_3000P	TOP
QZ1	10.793	14.548	0.000	32.768 kHz	ECX-1210	TOP
QZ2	8.858	24.984	180.000	32.000 MHz	XRCGB_F_P/M/L	TOP
QZ3	23.478	25.327	180.000	32.000 MHz	XRCGB_F_P/M/L	TOP
C1	8.744	22.788	270.000	100nF	C0402	TOP
D1	11.817	1.847	270.000	KP-1608SGC	D0603	TOP
J1	18.435	29.016	0.000	FTSH-105-01-L-DV	FTSH-105-01-L-DV	TOP
L1	6.853	17.575	180.000	10uH	L0603	BOTTOM
Q1	12.557	8.895	180.000	IRLML5203	SOT23	TOP
R1	6.090	5.677	90.000	10K	R0402	TOP
U1	25.701	20.238	180.000	SX1276IMLTR	QFN28_065_600_600_100	TOP
C2	10.816	16.508	180.000	100nF	C0402	BOTTOM
D2	8.926	8.072	0.000	PMEG4010CEJ	SOD323	TOP
J2	1.496	6.028	270.000	MOL-47346-0001	MOL-47346-0001	TOP
L2	6.654	19.175	0.000	15nH	L0402	BOTTOM
R2	6.489	4.001	0.000	10K	R0402	TOP
U2	12.462	19.379	0.000	nRF52832-QFAA	EQFN48_040_600_600_90	TOP
C3	7.363	15.933	0.000	100nF	C0402	BOTTOM
D3	4.908	22.949	90.000	KP-1608PBC	D0603	TOP
J3	17.942	5.611	0.000	B2B-PH-SM4-TB	B2B-PH-SM4-TB	TOP
L3	10.497	30.869	180.000	3.9nH	L0402	TOP
R3	3.058	22.930	270.000	200	R0603	TOP
U3	6.923	11.189	0.000	MIC5504-3.3YM5-TR	SOT23_5	TOP
C4	25.703	25.227	270.000	100nF	C0402	TOP
D4	3.141	17.342	0.000	HSMF-C114	CHIPLED	TOP
L4	31.918	15.674	90.000	6.2nH	L0402	TOP
R4	9.886	1.847	90.000	200	R0603	TOP
U4	9.882	5.228	90.000	MCP73831T-2ACI/OT	SOT23_5	TOP
C5	28.651	24.457	180.000	100nF	C0402	TOP
L5	28.153	16.051	180.000	10nH	L0402	TOP
R5	6.145	16.121	180.000	300	R0603	TOP
U5	2.929	30.865	180.000	2450AT18A100E	2450AT18A100	TOP
C6	31.109	20.071	270.000	100nF	C0402	TOP
L6	32.618	17.288	180.000	10nH	L0402	TOP
R6	6.146	17.995	180.000	300	R0603	TOP
U6	31.282	4.587	180.000	ANT-868-JJB-ST	ANT-868-JJB-ST	TOP
C7	21.717	16.977	90.000	100nF	C0402	TOP
C10	10.800	24.559	270.000	100pF	C0402	TOP
C11	12.000	24.559	270.000	100pF	C0402	TOP
C12	12.500	30.869	180.000	1pF	C0402	TOP
L7	32.598	20.077	90.000	33nH	L0402	TOP
C13	6.356	20.975	180.000	1uF	C0805	BOTTOM
R7	6.147	19.795	180.000	300	R0603	TOP
C14	9.812	13.167	0.000	12pF	C0402	TOP
U7	31.269	12.754	180.000	PE4259-63	SC70	TOP
C15	11.815	13.168	180.000	12pF	C0402	TOP
C16	9.034	26.694	0.000	12pF	C0402	TOP
C17	6.958	24.984	270.000	12pF	C0402	TOP
C8	26.916	25.456	270.000	100nF	C0402	TOP
C20	13.971	16.435	0.000	10uF	C0402	BOTTOM
C18	23.650	27.053	0.000	12pF	C0402	TOP
C19	21.146	23.944	0.000	12pF	C0402	TOP
C21	12.557	5.675	90.000	10uF	C0402	TOP
C22	7.324	5.677	90.000	10uF	C0402	TOP
C23	4.209	12.488	0.000	10uF	C0402	TOP
R8	2.341	20.042	90.000	3K	R0603	TOP
C24	9.426	10.396	270.000	10uF	C0402	TOP
C25	21.717	16.977	90.000	10uF	C0402	BOTTOM
C26	28.746	10.953	90.000	1nF	C0603	TOP
C27	33.118	15.674	90.000	1.2pF	C0402	TOP
C9	33.136	12.153	270.000	100nF	C0402	TOP
C30	27.457	14.350	90.000	3.3pF	C0402	TOP
C28	34.318	15.674	270.000	1.8pF	C0402	TOP
C29	31.007	17.787	90.000	33pF	C0402	TOP
C31	30.718	15.678	90.000	3.3pF	C0402	TOP
C32	28.657	14.349	90.000	47pF	C0402	TOP
C33	32.595	22.467	270.000	47pF	C0402	TOP
R9	26.805	11.655	180.000	1K	R0402	TOP
C34	30.195	22.467	270.000	47pF	C0402	TOP
C35	31.279	9.830	90.000	47pF	C0402	TOP
C36	33.809	20.080	270.000	1.5pF	C0402	TOP
C37	31.395	22.467	270.000	10nF	C0402	TOP
