Part	Value	Device	Description	Quantity	Distributor code	Option	Part Number
U6	 	ANT-868-JJB-ST	Ultra miniature monopole antenna, straight up mounting, 868MHz (855MHz - 880MHz), Linx Technologies ANT-868-JJB-ST	1	Mouser : 712-ANT-868-JJB-ST	 	80-0068
J3	 	B2B-PH-SM4-TB	Embase mâle CMS JST 2 broches, 2mm, avec détrompeur, à sortie verticale, B2B-PH-SM4-TB	1	Fa : 9492534	 	70-0086
SW1	 	B3U-3000P	Button Switch latéral / 2 pins / SMD / Omron B3U-3000P	1	Fa : 1333655	 	80-0035
C27	1.2pF	CAP C0402 1.2pF NP0 50V	Capacitor Ceramic 1.2pF, NP0, 50V, ±25% / case 0402	1	Fa : 2627392	 	10-0118
C36	1.5pF	CAP C0402 1.5pF NP0 50V	Capacitor Ceramic 1.5pF / NP0 / 50V / ±15% / case 0402	1	Fa : 1828869	 	10-0109
C28	1.8pF	CAP C0402 1.8pF NP0 50V	Capacitor Ceramic 1.8pF, NP0, 50V, ±25% / case 0402	1	Fa : 2627393	 	10-0119
C12	1pF	CAP C0402 1pF NPO 50V 5%	Capacitor Ceramic 1pF, NPO, 50V, ±5%,Multicomp MC000337, case 0402 	1	Fa : 2310367	 	10-0097
C30,C31	3.3pF	CAP C0402 3.3pF NP0 50V	Capacitor Ceramic 3.3pF / NP0 / 50V / ±10% / case 0402	2	Fa : 2434610	 	10-0108
C37	10nF	CAP C0402 10nF X7R 16V	Capacitor Ceramic X7R / 10nF / 16V / ±10% / case 0402	1	Fa : 1758885	 	10-0059
C20,C21,C22,C23,C24,C25	10uF	CAP C0402 10uF X5R 6V3 20%	Capacitor Ceramic 10µF, X5R, 6.3V, ±20%, TDK C1005X5R0J106M050BC, case 0402	6	Fa : 2346872	 	10-0106
C14,C15,C16,C17,C18,C19	12pF	CAP C0402 12pF C0G 50V 2%	Capacitor Ceramic 12pF, C0G, 50V, ±2%, high Q, case 0402, Johanson 500R07S120GV4T	6	Fa : 1885335	 	10-0096
C29	33pF	CAP C0402 33pF NP0 25V	Capacitor Ceramic 33pF / NP0 / 25V / ±5% / case 0402	1	Fa : 1885282	 	10-0091
C32,C33,C34,C35	47pF	CAP C0402 47pF NPO 50V 5%	Capacitor Ceramic 47pF, NP0, 50V, ±5%, case 0402	4	Fa : 1758959	 	10-0107
C1,C2,C3,C4,C5,C6,C7,C8,C9	100nF	CAP C0402 100nF X7R 16V	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0402	9	Fa : 2496810	 	10-0058
C10,C11	100pF	CAP C0402 100pF NPO 50V	Capacitor Ceramic 100pF / NPO / 50V / ±5% / case 0402 	2	Fa : 2496792	 	10-0067
C26	1nF	CAP C0603 1nF X7R 50V	Capacitor Ceramic X7R / 1nF / 50V / ±20% / case 0603	1	Fa : 1414608	DNP	10-0010
C13	1uF	CAP C0805 1uF X7R 16V	Capacitor Ceramic X7R / 1uF / 16V / +80% -20% / case 0805 / ESR= .1 ohm @ 1MHz, .01 ohm @ 10MHz/ Epcos B37941K9105K62 	1	Fa : 9227792	 	10-0037
J1	 	FTSH-105-01-L-DV	Dual row 1.27 CMS 2x5 points connector, Samtec FTSH-105-01-L-DV 	1	Fa : 1667759	 	70-0081
D4	 	HSMF-C114	Tricolor RGB  LED, SMD case ChipLed, Avago HSMF-C114, 20mA, 70/180/85mCd, Vf=2.4/3.9/2.9V	1	Fa : 1058362 	 	20-0038
Q1	 	IRLML5203	Basic P-Channel MOSFET, Rds=0.098ohms, 3A, IRLML5203PBF, case SOT23	1	Fa : 9103511	 	30-0010
D3	 	KP-1608PBC	HL Blue LED SMD case 0603, Kingbright KP-1608PBC, 30mA, 3.65V	1	Fa : 8529809	 	20-0041
D1	 	KP-1608SGC	HL Green LED SMD case 0603, Kingbright KP-1608SGC, 30mA, 2.2V	1	Fa : 8529833	 	20-0040
U4	 	MCP73831T-2ACI/OT	Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controller, 4.2V, Microchip MCP73831T-2ACI/OT, case SOT-23-5	1	Fa : 1332158 	 	40-0229
U3	 	MIC5504-3.3YM5-TR	Simple LDO 300mA, 3.3V, Micrel MIC5504-3.3YM5-TR, case SOT23	1	Mouser : 998-MIC5504-3.3YM5TR 	 	40-0287
J2	 	MOL-47346-0001	Female micro-USB B bottom SMD mount connector, Molex 47346-0001	1	Fa : 1568026	 	70-0065
U7	 	PE4259-63	UltraCMOS RF switch 10MHz - 3GHz, 1.8 - 3.3V, Peregrine Semiconductor PE4259, case SC70	1	DG : 1046-1011-1-ND	 	40-0302
D2	 	PMEG4010CEJ	Low drop schottky diode, 0.470mV, 1A, 40V reverse, case SOD323F, NXP PMEG4010CEJ	1	Fa : 1757777	 	20-0060
R9	1K 	RES_1k_0402	Resistor 1k ohms / 1% / case 0402	1	Fa : 1469662	 	02-0074
R8	3K 	RES_3.0k_0603	Resistor 3.0k ohms / 5% / case 0603	1	Fa : 2059618	 	00-0085
R1,R2	10K 	RES_10k_0402	Resistor 10k ohms / 1% / case 0402	2	Fa : 9239359	 	02-0098
R3,R4	200 	RES_200_0603	Resistor 200 ohms / 5% / case 0603	2	Fa : 2333571	 	00-0057
R5,R6,R7	300 	RES_300_0603	Resistor 300 ohms / 5% / case 0603	3	Fa : 2059303	 	00-0061
L3	3.9nH	SELF 3.9nH 0402	Inductor 3.9nH 9.5GHz, 2%, Coilcraft 0402HP-3N9XGLU, case 0402	1	Fa : 2285767	 	50-0036
L4	6.2nH	SELF 6.2nH 0402	Inductor 6.2nH 5GHz, 5%, Murata LQG15HS6N2S02D, case 0402	1	Mouser : 81-LQG15HS6N2S02D	 	50-0047
L5,L6	10nH	SELF 10nH 0402	Inductor 10nH 250mA case 0402	2	Fa : 1865772	 	50-0032
L1	10uH	SELF 10uH 0603	Inductance 10uH 80mA 0.36 ohms, self resonant 32MHz, Tayo Yuden LBMF1608T100K, case 0603	1	Mouser : 963-LBMF1608T100K	 	50-0033
L2	15nH	SELF 15nH 0402	Inductor 15nH 300mA, 4GHz, TDK MLK1005S15NJ, case 0402	1	Fa : 1669622	 	50-0029
L7	33nH	SELF 33nH 0402	Inductor 33nH 300mA case 0402	1	Fa : 2116085	 	50-0030
U1	 	SX1276IMLTR	137 MHz to 1020 MHz Low Power LoRa Transceiver, Semtech SX1276IMLTR, case EQFN28	1	Mouser : 947-SX1276IMLTRT	 	40-0316
PT1,PT2,PT3,PT4,PT5,PT6,PT7,PT8,PT9,PT10,PT11	 	TEST_POINT_0.9mm	Test point 0.9mm, SMD	11	 	 	80-0063
U2	 	nRF52832-QFAA	Multiprotocol Bluetooth 4.2 Low Energy SoC, 512k flash, 64k RAM, Cortex M4, case QFN exposed pad 48 0.4mm, Nordic nRF52832-QFAA	1	Mouser : 949-NRF52832-QFAA-T	 	40-0308
