
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0001                          R10                               83   1      1   1   1 1           1 0 XSIG020140          (4284-19-13)
00-0001                          R10                               83   1      2   1   1 2           2 0 XSIG020141          (4284-20-13)
00-0001                          R11                               84   1      1   1   1 1           1 0 GND                 (43-1-13)
00-0001                          R11                               84   1      2   1   1 2           2 0 XSIG020140          (4284-19-13)
00-0001                          R12                               82   1      1   1   1 1           1 0 GND                 (43-1-13)
00-0001                          R12                               82   1      2   1   1 2           2 0 XSIG020141          (4284-20-13)
00-0050                          R1                                30   1      1   1   1 1           1 0 XSIG030120          (4284-23-13)
00-0050                          R1                                30   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0057                          R3                                49   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0057                          R3                                49   1      2   1   1 2           2 0 XSIG011411          (4284-1-13)
00-0057                          R4                                50   1      1   1   1 1           1 0 USB_VBUS            (4284-26-13)
00-0057                          R4                                50   1      2   1   1 2           2 0 XSIG030124          (4284-25-13)
00-0061                          R5                                65   1      1   1   1 1           1 0 XSIG011416          (4284-4-13)
00-0061                          R5                                65   1      2   1   1 2           2 0 RGB_B               (4160-3-13)
00-0061                          R6                                64   1      1   1   1 1           1 0 XSIG011415          (4284-3-13)
00-0061                          R6                                64   1      2   1   1 2           2 0 RGB_G               (4160-2-13)
00-0061                          R7                                66   1      1   1   1 1           1 0 XSIG011414          (4284-2-13)
00-0061                          R7                                66   1      2   1   1 2           2 0 RGB_R               (4160-1-13)
00-0074                          R14                               80   1      1   1   1 1           1 0 RXTX                (4122-26-13)
00-0074                          R14                               80   1      2   1   1 2           2 0 XSIG020125          (4284-16-13)
00-0085                          R8                                67   1      1   1   1 1           1 0 GND                 (43-1-13)
00-0085                          R8                                67   1      2   1   1 2           2 0 XSIG011414          (4284-2-13)
00-0098                          R2                                35   1      1   1   1 1           1 0 USB_VBUS            (4284-26-13)
00-0098                          R2                                35   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0010                          C24                               56   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0010                          C24                               56   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0010                          C36                               55   1      1   1   1 1           1 0 XSIG020125          (4284-16-13)
10-0010                          C36                               55   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0011                          C21                               34   1      1   1   1 1           1 0 USB_VBUS            (4284-26-13)
10-0011                          C21                               34   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0011                          C22                               33   1      1   1   1 1           1 0 VR_PA               (4284-17-13)
10-0011                          C22                               33   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0037                          C10                               16   1      1   1   1 1           1 0 XSIG030117          (4284-22-13)
10-0037                          C10                               16   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0037                          C13                               17   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0037                          C13                               17   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0037                          C15                               15   1      1   1   1 1           1 0 XSIG011286          (4122-9-13)
10-0037                          C15                               15   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0054                          C31                               77   1      1   1   1 1           1 0 RFO_HF              (4122-25-13)
10-0054                          C31                               77   1      2   1   1 2           2 0 XSIG020120          (4284-15-13)
10-0057                          C1                                 2   1      1   1   1 1           1 0 XSIG020078          (4284-5-13)
10-0057                          C1                                 2   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C2                                 3   1      1   1   1 1           1 0 XSIG020079          (4284-6-13)
10-0057                          C2                                 3   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C3                                 6   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C3                                 6   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C4                                 5   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C4                                 5   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C5                                 4   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C5                                 4   1      2   1   1 2           2 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0058                          C6                                10   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C6                                10   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C7                                 9   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C7                                 9   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C9                                 8   1      1   1   1 1           1 0 XSIG011289          (4122-12-13)
10-0058                          C9                                 8   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0067                          C8                                14   1      1   1   1 1           1 0 XSIG011288          (4122-11-13)
10-0067                          C8                                14   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0067                          C12                               13   1      1   1   1 1           1 0 XSIG011287          (4122-10-13)
10-0067                          C12                               13   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0072                          C35                               79   1      1   1   1 1           1 0 XSIG020119          (4284-14-13)
10-0072                          C35                               79   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0084                          C26                               74   1      1   1   1 1           1 0 XSIG020111          (4284-12-13)
10-0084                          C26                               74   1      2   1   1 2           2 0 XSIG020152          (4330-1-13)
10-0084                          C27                               73   1      1   1   1 1           1 0 XSIG020152          (4330-1-13)
10-0084                          C27                               73   1      2   1   1 2           2 0 XSIG020108          (4284-9-13)
10-0084                          C28                               70   1      1   1   1 1           1 0 VR_PA               (4284-17-13)
10-0084                          C28                               70   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0084                          C29                               71   1      1   1   1 1           1 0 VR_PA               (4284-17-13)
10-0084                          C29                               71   1      2   1   1 2           2 0 GND                 (43-1-13)
