Filename: PicknPlace.txt

Lage der Leiterplatte:
untere linke Ecke: X=0 / Y=0
RefDesignator	X	Y	Rot	Value	Package	Side
QZ1	32.473	36.472	0.000	16.000 MHz	OSCCMS_CX2016DB	BOTTOM
QZ2	50.082	34.731	90.000	32.000 MHz	XRCGB_F_P/M/L	TOP
QZ3	40.804	32.775	270.000	32.768 kHz	ECX-1210	TOP
C1	26.778	31.944	0.000	100nF	C0402	BOTTOM
D1	46.801	23.419	180.000	BLUE	L0805	TOP
J1	36.410	1.555	180.000	MOL-47346-0001	MOL-47346-0001	BOTTOM
L1	43.742	37.140	0.000	10uH	L0603	TOP
Q1	45.689	7.143	0.000	IRLML5203	SOT23	BOTTOM
R1	46.478	25.519	0.000	200	R0603	TOP
C2	29.711	34.293	270.000	100nF	C0402	BOTTOM
D2	45.323	1.881	180.000	KP-1608SURC	D0603	TOP
J2	52.378	5.667	0.000	B2B-PH-SM4-TB	B2B-PH-SM4-TB	TOP
L2	45.866	36.631	270.000	15nH	L0402	TOP
R2	31.742	29.934	180.000	0	R0603	TOP
U2	2.166	2.937	270.000	2450AT18A100E	2450AT18A100	TOP
C3	41.413	31.667	270.000	100nF	C0402	BOTTOM
D3	36.698	26.531	90.000	HSMF-C114	CHIPLED	TOP
J3	53.320	24.209	90.000	FTSH-105-01-L-DV	FTSH-105-01-L-DV	TOP
L3	53.870	17.383	270.000	10uH	WE_SPC	TOP
R3	40.655	10.562	270.000	100K	R0603	BOTTOM
U3	55.541	38.713	90.000	2450AT18A100E	2450AT18A100	TOP
C4	41.919	24.270	180.000	100nF	C0402	BOTTOM
J4	3.673	33.571	180.000	JAE_ST1W008S4ER1500	JAE_ST1W008S4ER1500	TOP
L4	55.539	34.653	270.000	3.9nH	L0402	TOP
R4	42.593	5.086	270.000	1K	R0603	BOTTOM
U4	34.246	28.181	0.000	STM32F215RGT7	TQFP064_050_1220_1220_105	BOTTOM
C5	37.152	35.803	180.000	10uF	C0603	BOTTOM
J5	1.905	15.942	270.000	U.FL-R-SMT01	U.FL-R-SMT01	TOP
L5	2.165	7.333	90.000	3.9nH	L0402	TOP
R5	41.580	4.591	270.000	10K	R0603	TOP
U5	18.020	13.403	90.000	AMW106	AMW006	TOP
C6	49.744	6.452	270.000	1uF	C0603	BOTTOM
J6	31.103	4.514	0.000	FTSH-105-01-L-DV	FTSH-105-01-L-DV	TOP
R6	45.421	16.995	270.000	340K	R0603	TOP
U6	44.724	4.836	90.000	MCP73831T-2ACI/OT	SOT23_5	TOP
C10	30.294	25.251	180.000	2.2uF	C0603	TOP
C7	12.044	25.183	0.000	10uF	C0603	BOTTOM
D7	45.636	9.894	180.000	PMEG4010CEJ	SOD323	BOTTOM
C11	42.326	25.770	0.000	2.2uF	C0603	BOTTOM
C12	15.725	25.180	180.000	100nF	C0402	BOTTOM
C13	23.616	1.307	180.000	100nF	C0402	TOP
R7	54.230	10.513	90.000	200K	R0603	TOP
R10	45.389	10.547	270.000	12.1K	R0603	TOP
C14	34.283	36.480	270.000	12pF	C0402	BOTTOM
U7	48.348	13.206	90.000	LTC3530EMS	MS10_050_30_30_110	TOP
R11	28.793	28.227	0.000	4.7K	R0603	TOP
C15	30.628	37.527	270.000	12pF	C0402	BOTTOM
R12	25.820	29.904	0.000	10K	R0603	TOP
C16	13.700	1.307	0.000	100nF	C0402	TOP
R13	34.058	26.766	270.000	10K	R0603	TOP
C17	47.133	34.796	270.000	100nF	C0402	TOP
R14	37.665	29.840	270.000	300	R0603	TOP
C18	43.580	25.889	90.000	100nF	C0402	TOP
C20	51.841	30.949	180.000	100pF	C0402	TOP
C8	42.591	10.534	270.000	100nF	C0603	BOTTOM
R15	35.865	29.852	270.000	300	R0603	TOP
C19	42.555	34.469	270.000	100nF	C0402	BOTTOM
C21	51.843	32.149	180.000	100pF	C0402	TOP
R16	34.065	29.860	270.000	300	R0603	TOP
C22	44.650	35.132	270.000	1uF	C0402	TOP
R17	50.092	10.377	0.000	33.2K	R0603	TOP
C23	43.337	35.129	270.000	10uF	C0402	TOP
R8	45.401	19.824	270.000	200K	R0603	TOP
R18	52.583	6.421	270.000	100K	R0603	BOTTOM
C24	21.494	33.386	180.000	10uF	C0402	TOP
U8	45.779	30.402	270.000	nRF52832-QFAA	EQFN48_040_600_600_90	TOP
R19	54.383	6.421	90.000	100K	R0603	BOTTOM
C25	21.504	34.785	180.000	10uF	C0402	TOP
C26	49.584	37.103	270.000	12pF	C0402	TOP
C27	52.286	33.380	180.000	12pF	C0402	TOP
C28	38.712	32.249	270.000	12pF	C0402	TOP
C30	52.392	10.513	90.000	10nF	C0603	TOP
C9	42.630	13.208	0.000	10uF	C0603	TOP
C29	38.554	34.014	0.000	12pF	C0402	TOP
C31	43.589	10.547	90.000	220pF	C0603	TOP
C32	43.101	19.302	180.000	33pF	C0603	TOP
C33	48.337	16.296	0.000	47uF	C0805	TOP
R9	43.580	16.995	270.000	1K	R0603	TOP
C34	56.040	33.053	180.000	1pF	C0402	TOP
C35	2.170	10.535	270.000	1pF	C0402	TOP
