
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0057                          R1                                35   1      1   1   1 1           1 0 LED_B               (4311-17-13)
00-0057                          R1                                35   1      2   1   1 2           2 0 XSIG020366          (4503-1-13)
00-0061                          R6                                55   1      1   1   1 1           1 0 XSIG020248          (4292-19-13)
00-0061                          R6                                55   1      2   1   1 2           2 0 RGB_B               (4194-12-13)
00-0061                          R7                                56   1      1   1   1 1           1 0 XSIG020247          (4292-18-13)
00-0061                          R7                                56   1      2   1   1 2           2 0 RGB_G               (4194-11-13)
00-0061                          R8                                57   1      1   1   1 1           1 0 XSIG020246          (4292-17-13)
00-0061                          R8                                57   1      2   1   1 2           2 0 RGB_R               (4194-10-13)
00-0074                          R4                                51   1      1   1   1 1           1 0 XSIG020230          (4292-15-13)
00-0074                          R4                                51   1      2   1   1 2           2 0 OTG_HS_VBAT         (4264-11-13)
00-0081                          R5                                53   1      1   1   1 1           1 0 XSIG020233          (4292-16-13)
00-0081                          R5                                53   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0085                          R9                                59   1      1   1   1 1           1 0 GND                 (43-1-13)
00-0085                          R9                                59   1      2   1   1 2           2 0 XSIG020246          (4292-17-13)
00-0098                          R2                                 1   1      1   1   1 1           1 0 XSIG011624          (4292-11-13)
00-0098                          R2                                 1   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0098                          R10                                2   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0098                          R10                                2   1      2   1   1 2           2 0 SD_CMD              (4228-13-13)
00-0122                          R3                                42   1      1   1   1 1           1 0 OTG_HS_VBAT         (4264-11-13)
00-0122                          R3                                42   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C8                                39   1      1   1   1 1           1 0 OTG_HS_VBAT         (4264-11-13)
10-0057                          C8                                39   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C1                                19   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C1                                19   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C2                                17   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C2                                17   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C3                                16   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C3                                16   1      2   1   1 2           2 0 GND                 (43-1-13)
