
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0001                          R2                                59   1      1   1   1 1           1 0 XSIG011656          (4619-1-13)
00-0001                          R2                                59   1      2   1   1 2           2 0 VCC                 (43-2-13)
00-0057                          R1                                28   1      1   1   1 1           1 0 XSIG040081          (4631-37-13)
00-0057                          R1                                28   1      2   1   1 2           2 0 XSIG040080          (4631-36-13)
00-0061                          R14                               74   1      1   1   1 1           1 0 XSIG011692          (4631-5-13)
00-0061                          R14                               74   1      2   1   1 2           2 0 RGB_B               (4194-12-13)
00-0061                          R15                               75   1      1   1   1 1           1 0 XSIG011691          (4631-4-13)
00-0061                          R15                               75   1      2   1   1 2           2 0 RGB_G               (4194-11-13)
00-0061                          R16                               76   1      1   1   1 1           1 0 XSIG011690          (4631-3-13)
00-0061                          R16                               76   1      2   1   1 2           2 0 RGB_R               (4194-10-13)
00-0074                          R4                                36   1      1   1   1 1           1 0 XSIG020417          (4811-1-13)
00-0074                          R4                                36   1      2   1   1 2           2 0 OTG_HS_VBUS         (4631-6-13)
00-0074                          R9                                37   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0074                          R9                                37   1      2   1   1 2           2 0 XSIG020406          (4631-14-13)
00-0090                          R11                               62   1      1   1   1 1           1 0 XSIG011656          (4619-1-13)
00-0090                          R11                               62   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0098                          R5                                66   1      1   1   1 1           1 0 XSIG020233          (4292-16-13)
00-0098                          R5                                66   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0098                          R12                               65   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0098                          R12                               65   1      2   1   1 2           2 0 SD_SCK              (4228-15-13)
00-0098                          R13                               64   1      1   1   1 1           1 0 GND                 (43-1-13)
00-0098                          R13                               64   1      2   1   1 2           2 0 XSIG011690          (4631-3-13)
00-0122                          R3                                55   1      1   1   1 1           1 0 OTG_HS_VBUS         (4631-6-13)
00-0122                          R3                                55   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0122                          R18                               54   1      1   1   1 1           1 0 VBAT                (4639-1-13)
00-0122                          R18                               54   1      2   1   1 2           2 0 XSIG011707          (4639-2-13)
00-0122                          R19                               53   1      1   1   1 1           1 0 XSIG011707          (4639-2-13)
00-0122                          R19                               53   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0129                          R7                                33   1      1   1   1 1           1 0 XSIG020392          (4631-9-13)
00-0129                          R7                                33   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0129                          R8                                34   1      1   1   1 1           1 0 XSIG020401          (4631-11-13)
00-0129                          R8                                34   1      2   1   1 2           2 0 GND                 (43-1-13)
01-0393                          R10                               41   1      1   1   1 1           1 0 XSIG020404          (4631-12-13)
01-0393                          R10                               41   1      2   1   1 2           2 0 XSIG020405          (4631-13-13)
01-0435                          R17                               77   1      1   1   1 1           1 0 XSIG020393          (4631-10-13)
01-0435                          R17                               77   1      2   1   1 2           2 0 GND                 (43-1-13)
01-0532                          R6                                32   1      1   1   1 1           1 0 VCC                 (43-2-13)
01-0532                          R6                                32   1      2   1   1 2           2 0 XSIG020401          (4631-11-13)
10-0011                          C30                               57   1      1   1   1 1           1 0 XSIG020392          (4631-9-13)
10-0011                          C30                               57   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0040                          C31                               71   1      1   1   1 1           1 0 XSIG020401          (4631-11-13)
10-0040                          C31                               71   1      2   1   1 2           2 0 XSIG020404          (4631-12-13)
10-0054                          C32                               72   1      1   1   1 1           1 0 XSIG020406          (4631-14-13)
10-0054                          C32                               72   1      2   1   1 2           2 0 XSIG020401          (4631-11-13)
10-0057                          C8                                51   1      1   1   1 1           1 0 OTG_HS_VBUS         (4631-6-13)
10-0057                          C8                                51   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C1                                13   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C1                                13   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C2                                12   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C2                                12   1      2   1   1 2           2 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0058                          C3                                15   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C3                                15   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C4                                14   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C4                                14   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C12                               18   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C12                               18   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C13                               17   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C13                               17   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C16                               16   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C16                               16   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C17                               20   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C17                               20   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C18                               19   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C18                               19   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C19                               11   1      1   1   1 1           1 0 XSIG040057          (4631-26-13)
10-0058                          C19                               11   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0060                          C22                               30   1      1   1   1 1           1 0 XSIG040055          (4631-24-13)
10-0060                          C22                               30   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0067                          C20                               24   1      1   1   1 1           1 0 XSIG040084          (4631-38-13)
10-0067                          C20                               24   1      2   1   1 2           2 0 GND                 (43-1-13)
