Filename: PicknPlace.txt

Lage der Leiterplatte:
untere linke Ecke: X=0 / Y=0
RefDesignator	X	Y	Rot	Value	Package	Side
QZ3	30.135	13.459	90.000	32.000 MHz	XRCGB_F_P/M/L	TOP
QZ5	13.024	2.224	90.000	16.000 MHz	OSCCMS_CX2016DB	TOP
C1	10.498	11.772	180.000	100nF	C0603	TOP
D1	17.486	20.173	270.000	HSMF-C114	CHIPLED	TOP
J1	2.986	11.928	270.000	USB A MALE	LUMBERG-2410-07	TOP
L1	29.761	20.688	0.000	3.9nH	L0402	TOP
R1	16.832	17.173	90.000	300	R0603	TOP
U1	13.212	8.564	180.000	STM32F215RGT7	TQFP064_050_1220_1220_105	BOTTOM
C2	11.077	7.672	270.000	100nF	C0603	TOP
D2	19.156	5.003	180.000	KP-1608PBC	D0603	TOP
J2	45.817	11.560	90.000	USB A	AMP787761	TOP
R2	19.558	16.871	90.000	300	R0603	BOTTOM
U2	24.966	11.955	270.000	nRF52832-QFAA	EQFN48_040_600_600_90	TOP
C3	15.381	4.825	0.000	100nF	C0603	TOP
J3	11.586	17.777	180.000	FTSH-105-01-L-DV	FTSH-105-01-L-DV	TOP
R3	2.534	3.015	270.000	10K	R0603	TOP
U3	5.128	3.286	180.000	MIC5504-3.3YM5-TR	SOT23_5	TOP
C4	9.109	7.355	270.000	100nF	C0603	TOP
J4	27.022	4.308	0.000	FTSH-105-01-L-DV	FTSH-105-01-L-DV	TOP
R4	17.199	17.262	0.000	300	R0603	BOTTOM
U4	25.244	20.688	180.000	2450AT18A100E	2450AT18A100	TOP
C5	10.514	9.972	0.000	2.2uF	C0603	TOP
J5	20.526	12.603	180.000	TEST_POINT_0.9mm	PTEST_0.90MM	TOP
R5	19.708	20.257	90.000	10K	R0603	TOP
U5	22.501	5.140	90.000	TPS2061CDBVR	SOT23_5	BOTTOM
C6	13.319	10.540	180.000	2.2uF	C0603	TOP
J6	20.535	11.427	0.000	TEST_POINT_0.9mm	PTEST_0.90MM	TOP
R6	19.157	7.153	0.000	100	R0603	TOP
C10	20.422	14.882	0.000	10uF	C0402	TOP
C7	21.899	7.800	90.000	100nF	C0402	BOTTOM
C11	3.446	2.943	0.000	1uF	C0603	BOTTOM
J7	20.572	10.225	0.000	TEST_POINT_0.9mm	PTEST_0.90MM	TOP
C12	24.012	15.851	180.000	1uF	C0402	TOP
C13	12.479	5.224	270.000	12pF	C0402	TOP
R7	15.028	6.625	0.000	0	R0603	TOP
C14	30.836	15.759	270.000	12pF	C0402	TOP
C15	29.636	15.770	270.000	12pF	C0402	TOP
C16	29.994	13.967	180.000	100pF	C0402	BOTTOM
C17	30.028	12.759	180.000	100nF	C0402	BOTTOM
C18	20.023	14.751	0.000	100nF	C0402	BOTTOM
C8	26.301	15.864	0.000	100nF	C0402	TOP
C20	16.995	11.062	90.000	100nF	C0603	TOP
C21	31.367	21.187	270.000	1pF	C0402	TOP
C19	16.521	1.523	180.000	12pF	C0402	TOP
J8	20.576	8.943	0.000	TEST_POINT_0.9mm	PTEST_0.90MM	TOP
R8	15.216	8.425	0.000	10K	R0603	TOP
C9	8.611	2.544	180.000	10uF	C0603	TOP
