
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0001                          R7                                23   1      1   1   1 1           1 0 XSIG011445          (4539-2-13)
00-0001                          R7                                23   1      2   1   1 2           2 0 VCC                 (43-2-13)
00-0050                          R6                                40   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0050                          R6                                40   1      2   1   1 2           2 0 XSIG020128          (4175-29-13)
00-0061                          R1                                42   1      1   1   1 1           1 0 XSIG011373          (4194-9-13)
00-0061                          R1                                42   1      2   1   1 2           2 0 RGB_B               (4194-12-13)
00-0061                          R2                                43   1      1   1   1 1           1 0 XSIG011372          (4194-8-13)
00-0061                          R2                                43   1      2   1   1 2           2 0 RGB_G               (4194-11-13)
00-0061                          R4                                44   1      1   1   1 1           1 0 XSIG011371          (4194-7-13)
00-0061                          R4                                44   1      2   1   1 2           2 0 RGB_R               (4194-10-13)
00-0085                          R5                                17   1      1   1   1 1           1 0 XSIG011371          (4194-7-13)
00-0085                          R5                                17   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0090                          R8                                24   1      1   1   1 1           1 0 XSIG011445          (4539-2-13)
00-0090                          R8                                24   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0098                          R3                                14   1      1   1   1 1           1 0 USB_PC_TO_DEVICE_VBU(4167-1-13)
00-0098                          R3                                14   1      2   1   1 2           2 0 XSIG011272          (4134-15-13)
10-0037                          C9                                39   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0037                          C9                                39   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0037                          C11                               38   1      1   1   1 1           1 0 USB_PC_TO_DEVICE_VBU(4167-1-13)
10-0037                          C11                               38   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C1                                 8   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C1                                 8   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C2                                 7   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C2                                 7   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C3                                 6   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C3                                 6   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C4                                 5   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C4                                 5   1      2   1   1 2           2 0 GND                 (43-1-13)
